Trial,Seed,Policy,Route_Index,Route_Name,Available,Hop_Count,Contact_Probability,Optical_Packet_Success_Lower_Bound,Physical_End_To_End_Success_Lower_Bound,PAT_s,Propagation_s,Policy_Score,Selected
11,100010,B3_Physical_Success,3,Earth_Relay2_Mars,1,2,0.691224313,1,0.691224313,120,570.6900436,0.691224313,0
11,100010,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,1,1,0.831399009,1,0.831399009,60,564.9856648,0.831399009,1
11,100010,B4_Physical_Multiobjective,1,Earth_Relay0_Mars,1,2,0.691224313,1,0.691224313,120,661.549882,0.295164309,0
11,100010,B4_Physical_Multiobjective,2,Earth_Relay1_Mars,1,2,0.691224313,1,0.691224313,120,1023.158578,0.190846188,0
11,100010,B4_Physical_Multiobjective,3,Earth_Relay2_Mars,1,2,0.691224313,1,0.691224313,120,570.6900436,0.342157562,0
12,100011,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,1,0.822248801,1,0.822248801,60,772.7670018,1,1
12,100011,B1_Shortest_Delay,1,Earth_Relay0_Mars,1,2,0.676093091,1,0.676093091,120,876.7713434,0.881378033,0
12,100011,B1_Shortest_Delay,2,Earth_Relay1_Mars,1,2,0.676093091,1,0.676093091,120,1168.101033,0.661558358,0
12,100011,B1_Shortest_Delay,3,Earth_Relay2_Mars,1,2,0.676093091,1,0.676093091,120,778.7239838,0.992350329,0
12,100011,B2_Contact_Aware,0,Direct_Earth_to_Mars,1,1,0.822248801,1,0.822248801,60,772.7670018,0.822248801,1
12,100011,B2_Contact_Aware,1,Earth_Relay0_Mars,1,2,0.676093091,1,0.676093091,120,876.7713434,0.676093091,0
12,100011,B2_Contact_Aware,2,Earth_Relay1_Mars,1,2,0.676093091,1,0.676093091,120,1168.101033,0.676093091,0
12,100011,B2_Contact_Aware,3,Earth_Relay2_Mars,1,2,0.676093091,1,0.676093091,120,778.7239838,0.676093091,0
12,100011,B3_Physical_Success,0,Direct_Earth_to_Mars,1,1,0.822248801,1,0.822248801,60,772.7670018,0.822248801,1
12,100011,B3_Physical_Success,1,Earth_Relay0_Mars,1,2,0.676093091,1,0.676093091,120,876.7713434,0.676093091,0
12,100011,B3_Physical_Success,2,Earth_Relay1_Mars,1,2,0.676093091,1,0.676093091,120,1168.101033,0.676093091,0
12,100011,B3_Physical_Success,3,Earth_Relay2_Mars,1,2,0.676093091,1,0.676093091,120,778.7239838,0.676093091,0
12,100011,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,1,1,0.822248801,1,0.822248801,60,772.7670018,0.822248801,1
12,100011,B4_Physical_Multiobjective,1,Earth_Relay0_Mars,1,2,0.676093091,1,0.676093091,120,876.7713434,0.297946799,0
12,100011,B4_Physical_Multiobjective,2,Earth_Relay1_Mars,1,2,0.676093091,1,0.676093091,120,1168.101033,0.223637518,0
12,100011,B4_Physical_Multiobjective,3,Earth_Relay2_Mars,1,2,0.676093091,1,0.676093091,120,778.7239838,0.335460601,0
13,100012,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,1,0.883176054,1,0.883176054,60,476.6774288,1,1
13,100012,B1_Shortest_Delay,1,Earth_Relay0_Mars,1,2,0.779999942,1,0.779999942,120,587.5262765,0.811329549,0
13,100012,B1_Shortest_Delay,2,Earth_Relay1_Mars,1,2,0.779999942,1,0.779999942,120,952.8457976,0.500267126,0
13,100012,B1_Shortest_Delay,3,Earth_Relay2_Mars,1,2,0.779999942,1,0.779999942,120,482.3267826,0.98828729,0
13,100012,B2_Contact_Aware,0,Direct_Earth_to_Mars,1,1,0.883176054,1,0.883176054,60,476.6774288,0.883176054,1
13,100012,B2_Contact_Aware,1,Earth_Relay0_Mars,1,2,0.779999942,1,0.779999942,120,587.5262765,0.779999942,0
13,100012,B2_Contact_Aware,2,Earth_Relay1_Mars,1,2,0.779999942,1,0.779999942,120,952.8457976,0.779999942,0
13,100012,B2_Contact_Aware,3,Earth_Relay2_Mars,1,2,0.779999942,1,0.779999942,120,482.3267826,0.779999942,0
13,100012,B3_Physical_Success,0,Direct_Earth_to_Mars,1,1,0.883176054,1,0.883176054,60,476.6774288,0.883176054,1
13,100012,B3_Physical_Success,1,Earth_Relay0_Mars,1,2,0.779999942,1,0.779999942,120,587.5262765,0.779999942,0
13,100012,B3_Physical_Success,2,Earth_Relay1_Mars,1,2,0.779999942,1,0.779999942,120,952.8457976,0.779999942,0
