Trial,Seed,Dominating_Route,Dominated_Route
67,100066,Earth_Relay2_Mars,Earth_Relay0_Mars
68,100067,Direct_Earth_to_Mars,Earth_Relay0_Mars
68,100067,Direct_Earth_to_Mars,Earth_Relay2_Mars
69,100068,Direct_Earth_to_Mars,Earth_Relay0_Mars
69,100068,Direct_Earth_to_Mars,Earth_Relay1_Mars
69,100068,Direct_Earth_to_Mars,Earth_Relay2_Mars
69,100068,Earth_Relay1_Mars,Earth_Relay0_Mars
69,100068,Earth_Relay2_Mars,Earth_Relay0_Mars
70,100069,Direct_Earth_to_Mars,Earth_Relay0_Mars
70,100069,Direct_Earth_to_Mars,Earth_Relay1_Mars
70,100069,Direct_Earth_to_Mars,Earth_Relay2_Mars
70,100069,Earth_Relay1_Mars,Earth_Relay0_Mars
70,100069,Earth_Relay2_Mars,Earth_Relay0_Mars
71,100070,Direct_Earth_to_Mars,Earth_Relay1_Mars
71,100070,Direct_Earth_to_Mars,Earth_Relay2_Mars
71,100070,Earth_Relay2_Mars,Earth_Relay1_Mars
72,100071,Direct_Earth_to_Mars,Earth_Relay0_Mars
72,100071,Direct_Earth_to_Mars,Earth_Relay1_Mars
72,100071,Direct_Earth_to_Mars,Earth_Relay2_Mars
72,100071,Earth_Relay1_Mars,Earth_Relay0_Mars
72,100071,Earth_Relay2_Mars,Earth_Relay0_Mars
73,100072,Direct_Earth_to_Mars,Earth_Relay0_Mars
73,100072,Direct_Earth_to_Mars,Earth_Relay1_Mars
73,100072,Direct_Earth_to_Mars,Earth_Relay2_Mars
73,100072,Earth_Relay0_Mars,Earth_Relay1_Mars
73,100072,Earth_Relay2_Mars,Earth_Relay0_Mars
73,100072,Earth_Relay2_Mars,Earth_Relay1_Mars
74,100073,Direct_Earth_to_Mars,Earth_Relay0_Mars
74,100073,Direct_Earth_to_Mars,Earth_Relay1_Mars
74,100073,Direct_Earth_to_Mars,Earth_Relay2_Mars
74,100073,Earth_Relay0_Mars,Earth_Relay1_Mars
74,100073,Earth_Relay2_Mars,Earth_Relay0_Mars
74,100073,Earth_Relay2_Mars,Earth_Relay1_Mars
75,100074,Direct_Earth_to_Mars,Earth_Relay0_Mars
75,100074,Direct_Earth_to_Mars,Earth_Relay1_Mars
75,100074,Direct_Earth_to_Mars,Earth_Relay2_Mars
75,100074,Earth_Relay0_Mars,Earth_Relay1_Mars
75,100074,Earth_Relay2_Mars,Earth_Relay1_Mars
76,100075,Direct_Earth_to_Mars,Earth_Relay0_Mars
76,100075,Direct_Earth_to_Mars,Earth_Relay1_Mars
76,100075,Direct_Earth_to_Mars,Earth_Relay2_Mars
76,100075,Earth_Relay0_Mars,Earth_Relay1_Mars
76,100075,Earth_Relay2_Mars,Earth_Relay0_Mars
76,100075,Earth_Relay2_Mars,Earth_Relay1_Mars
77,100076,Direct_Earth_to_Mars,Earth_Relay0_Mars
