Trial,Seed,Policy,Selected_Route_Index,Selected_Route_Name,Selected_Score,Selected_Physical_Success_Lower_Bound
63,100062,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.91627586379561543,0.91627586379561543
63,100062,B3_Physical_Success,0,Direct_Earth_to_Mars,0.91627586379561543,0.91627586379561543
63,100062,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.91627586379561543,0.91627586379561543
64,100063,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.92696486534350542
64,100063,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.92696486558705926,0.92696486534350542
64,100063,B3_Physical_Success,0,Direct_Earth_to_Mars,0.92696486534350542,0.92696486534350542
64,100063,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.92696486534350542,0.92696486534350542
65,100064,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.86293250045694569
65,100064,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.86293260068607081,0.86293250045694569
65,100064,B3_Physical_Success,0,Direct_Earth_to_Mars,0.86293250045694569,0.86293250045694569
65,100064,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.86293250045694569,0.86293250045694569
66,100065,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.95028733774102769
66,100065,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.95028733791521613,0.95028733774102769
66,100065,B3_Physical_Success,0,Direct_Earth_to_Mars,0.95028733774102769,0.95028733774102769
66,100065,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.95028733774102769,0.95028733774102769
67,100066,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.97323639791216965
67,100066,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.97323639791216965,0.97323639791216965
67,100066,B3_Physical_Success,0,Direct_Earth_to_Mars,0.97323639791216965,0.97323639791216965
67,100066,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.97323639791216965,0.97323639791216965
68,100067,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.85946927310059607
68,100067,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.85947266443034731,0.85946927310059607
68,100067,B3_Physical_Success,0,Direct_Earth_to_Mars,0.85946927310059607,0.85946927310059607
68,100067,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.85946927310059607,0.85946927310059607
69,100068,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.93077079612493929
69,100068,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.93077080111446731,0.93077079612493929
69,100068,B3_Physical_Success,0,Direct_Earth_to_Mars,0.93077079612493929,0.93077079612493929
69,100068,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.93077079612493929,0.93077079612493929
70,100069,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.97255197740195687
70,100069,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.97255211625526805,0.97255197740195687
70,100069,B3_Physical_Success,0,Direct_Earth_to_Mars,0.97255197740195687,0.97255197740195687
70,100069,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.97255197740195687,0.97255197740195687
