Trial,Seed,Policy,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Link_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
52,100051,B1,200,198,0,2,2,0,0.98999999999999999,202752,1156.4045762032551
52,100051,B2,200,198,0,2,2,0,0.98999999999999999,202752,1156.4045762032551
52,100051,B3,200,198,0,2,2,0,0.98999999999999999,202752,1156.4045762032551
52,100051,B4,200,198,0,2,2,0,0.98999999999999999,202752,1156.4045762032551
53,100052,B1,200,184,0,16,16,0,0.92000000000000004,188416,424.614346022907
53,100052,B2,200,184,0,16,16,0,0.92000000000000004,188416,424.614346022907
53,100052,B3,200,184,0,16,16,0,0.92000000000000004,188416,424.614346022907
53,100052,B4,200,184,0,16,16,0,0.92000000000000004,188416,424.614346022907
54,100053,B1,200,169,0,31,31,0,0.84499999999999997,173056,1340.9033053439921
54,100053,B2,200,169,0,31,31,0,0.84499999999999997,173056,1340.9033053439921
54,100053,B3,200,169,0,31,31,0,0.84499999999999997,173056,1340.9033053439921
54,100053,B4,200,169,0,31,31,0,0.84499999999999997,173056,1340.9033053439921
55,100054,B1,200,183,0,17,17,0,0.91500000000000004,187392,779.02871566696638
55,100054,B2,200,183,0,17,17,0,0.91500000000000004,187392,779.02871566696638
55,100054,B3,200,183,0,17,17,0,0.91500000000000004,187392,779.02871566696638
55,100054,B4,200,183,0,17,17,0,0.91500000000000004,187392,779.02871566696638
56,100055,B1,200,160,0,40,40,0,0.80000000000000004,163840,407.93944658771909
56,100055,B2,200,160,0,40,40,0,0.80000000000000004,163840,407.93944658771909
56,100055,B3,200,160,0,40,40,0,0.80000000000000004,163840,407.93944658771909
56,100055,B4,200,160,0,40,40,0,0.80000000000000004,163840,407.93944658771909
57,100056,B1,200,182,0,18,18,0,0.91000000000000003,186368,507.87878101663443
57,100056,B2,200,182,0,18,18,0,0.91000000000000003,186368,507.87878101663443
57,100056,B3,200,182,0,18,18,0,0.91000000000000003,186368,507.87878101663443
57,100056,B4,200,182,0,18,18,0,0.91000000000000003,186368,507.87878101663443
58,100057,B1,200,175,0,25,25,0,0.875,179200,703.77880700981382
58,100057,B2,200,175,0,25,25,0,0.875,179200,703.77880700981382
58,100057,B3,200,175,0,25,25,0,0.875,179200,703.77880700981382
58,100057,B4,200,175,0,25,25,0,0.875,179200,703.77880700981382
59,100058,B1,200,190,0,10,10,0,0.94999999999999996,194560,787.38151309409034
59,100058,B2,200,190,0,10,10,0,0.94999999999999996,194560,787.38151309409034
59,100058,B3,200,190,0,10,10,0,0.94999999999999996,194560,787.38151309409034
59,100058,B4,200,190,0,10,10,0,0.94999999999999996,194560,787.38151309409034
6,100005,B1,200,174,0,26,26,0,0.87,178176,1051.0231773920505
6,100005,B2,200,174,0,26,26,0,0.87,178176,1051.0231773920505
6,100005,B3,200,174,0,26,26,0,0.87,178176,1051.0231773920505
