Trial,Seed,Scenario,B1_Route,B4_Route,B1_Reliability,B4_Reliability,Reliability_Difference,B1_Delivered_Bits,B4_Delivered_Bits,Delivered_Bits_Difference,B1_Mean_Latency_s,B4_Mean_Latency_s,Latency_Difference_s,B1_Contact_Failures,B4_Contact_Failures,Contact_Failure_Difference,B1_Optical_Failures,B4_Optical_Failures,Optical_Failure_Difference
24,1000023,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.88500000000000001,0.88500000000000001,0,181248,181248,0,626.64862796650743,626.64862796650743,0,23,23,0,0,0,0
24,1000023,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.88500000000000001,0.88500000000000001,0,181248,181248,0,626.64862796650743,626.64862796650743,0,23,23,0,0,0,0
24,1000023,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.88500000000000001,0.88500000000000001,0,181248,181248,0,626.64862796650743,626.64862796650743,0,23,23,0,0,0,0
24,1000023,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.88500000000000001,0.88500000000000001,0,181248,181248,0,626.64862796650743,626.64862796650743,0,23,23,0,0,0,0
25,1000024,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.88,0.88,0,180224,180224,0,1354.8699115430061,1354.8699115430061,0,24,24,0,0,0,0
25,1000024,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.77000000000000002,0.77000000000000002,0,157696,157696,0,1354.8699115430061,1354.8699115430061,0,24,24,0,22,22,0
25,1000024,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.80000000000000004,0.80000000000000004,0,163840,163840,0,1421.5387778024303,1421.5387778024303,24,40,16,176,0,-176
25,1000024,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.80000000000000004,0.80000000000000004,0,163840,163840,0,1421.5387778024303,1421.5387778024303,24,40,16,176,0,-176
26,1000025,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.98999999999999999,0.98999999999999999,0,202752,202752,0,1026.7949080054459,1026.7949080054459,0,2,2,0,0,0,0
26,1000025,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.98999999999999999,0.98999999999999999,0,202752,202752,0,1026.7949080054459,1026.7949080054459,0,2,2,0,0,0,0
26,1000025,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.97999999999999998,0.97999999999999998,0,200704,200704,0,1093.0495170366175,1093.0495170366175,2,4,2,198,0,-198
26,1000025,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.97999999999999998,0.97999999999999998,0,200704,200704,0,1093.0495170366175,1093.0495170366175,2,4,2,198,0,-198
27,1000026,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.92000000000000004,0.92000000000000004,0,188416,188416,0,360.83000953161491,360.83000953161491,0,16,16,0,0,0,0
27,1000026,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.92000000000000004,0.92000000000000004,0,188416,188416,0,360.83000953161491,360.83000953161491,0,16,16,0,0,0,0
27,1000026,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.92000000000000004,0.92000000000000004,0,188416,188416,0,360.83000953161491,360.83000953161491,0,16,16,0,0,0,0
27,1000026,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.92000000000000004,0.92000000000000004,0,188416,188416,0,360.83000953161491,360.83000953161491,0,16,16,0,0,0,0
28,1000027,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85499999999999998,0.85499999999999998,0,175104,175104,0,325.23646866025018,325.23646866025018,0,29,29,0,0,0,0
28,1000027,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85499999999999998,0.85499999999999998,0,175104,175104,0,325.23646866025018,325.23646866025018,0,29,29,0,0,0,0
28,1000027,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85499999999999998,0.85499999999999998,0,175104,175104,0,325.23646866025018,325.23646866025018,0,29,29,0,0,0,0
28,1000027,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85499999999999998,0.85499999999999998,0,175104,175104,0,325.23646866025018,325.23646866025018,0,29,29,0,0,0,0
29,1000028,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.96499999999999997,0.96499999999999997,0,197632,197632,0,1118.0787952350804,1118.0787952350804,0,7,7,0,0,0,0
29,1000028,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.96499999999999997,0.96499999999999997,0,197632,197632,0,1118.0787952350804,1118.0787952350804,0,7,7,0,0,0,0
29,1000028,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.94499999999999995,0.94499999999999995,0,193536,193536,0,1184.4742710285566,1184.4742710285566,7,11,4,193,0,-193
29,1000028,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.94499999999999995,0.94499999999999995,0,193536,193536,0,1184.4742710285566,1184.4742710285566,7,11,4,193,0,-193
