Trial,Seed,Route_Name,Route_Available,Hop_Number,Hop_Distance_m,Optical_Degradation_Factor,Background_Photons_Per_Slot,Diffraction_Efficiency,Received_Power_W,Photon_Flux_Per_s,Signal_Photons_Per_Slot,PPM_Order,Packet_Bits,Conservative_Uncoded_SER,Uncoded_Packet_Success_Probability
2,100001,Earth_Relay0_Mars,1,1,394860380634.21185,0.93381665290172622,1,2.6348095529745976e-15,1.9683432302337857e-14,153585.23585913939,0.15358523585913939,16,8192,0.95113004180449179,0
2,100001,Earth_Relay0_Mars,1,2,76990169187.327438,0.93381665290172622,1,6.9305196793177796e-14,5.1774677518480585e-13,4039857.4476577756,4.0398574476577753,16,8192,0.2736328252955873,4.4454684515332504e-285
2,100001,Earth_Relay1_Mars,0,1,378404363900.47095,0.93381665290172622,1,2.8689572481215483e-15,2.1432640438072091e-14,167233.89936289017,0.16723389936289015,16,8192,0.9497037343725071,0
2,100001,Earth_Relay1_Mars,0,2,75084140246.636673,0.93381665290172622,1,7.2868515929627724e-14,5.4436666917856864e-13,4247566.2778444579,4.2475662778444576,16,8192,0.24753778425406148,1.0981448425008397e-253
2,100001,Earth_Relay2_Mars,1,1,393091396524.23114,0.93381665290172622,1,2.6585771745079934e-15,1.9860989108639862e-14,154970.67024656836,0.15497067024656835,16,8192,0.95098622938930411,0
2,100001,Earth_Relay2_Mars,1,2,999999999.99999845,0.93381665290172622,1,4.1080559421808067e-10,3.0689368398882623e-09,23946199074.998615,23946.199074998614,16,8192,0,1
2,100001,Direct_Earth_to_Mars,1,1,392093050456.03699,0.93381665290172622,4,2.6721329317368545e-15,1.9962257843383893e-14,155760.84658735682,0.15576084658735681,16,8192,0.94859988980257226,0
2,100001,Earth_Relay0_Mars,1,1,394860380634.21185,0.93381665290172622,4,2.6348095529745976e-15,1.9683432302337857e-14,153585.23585913939,0.15358523585913939,16,8192,0.948712754124451,0
2,100001,Earth_Relay0_Mars,1,2,76990169187.327438,0.93381665290172622,4,6.9305196793177796e-14,5.1774677518480585e-13,4039857.4476577756,4.0398574476577753,16,8192,0.54619507589377703,0
2,100001,Earth_Relay1_Mars,0,1,378404363900.47095,0.93381665290172622,4,2.8689572481215483e-15,2.1432640438072091e-14,167233.89936289017,0.16723389936289015,16,8192,0.94800208709618183,0
2,100001,Earth_Relay1_Mars,0,2,75084140246.636673,0.93381665290172622,4,7.2868515929627724e-14,5.4436666917856864e-13,4247566.2778444579,4.2475662778444576,16,8192,0.51998457493644268,0
2,100001,Earth_Relay2_Mars,1,1,393091396524.23114,0.93381665290172622,4,2.6585771745079934e-15,1.9860989108639862e-14,154970.67024656836,0.15497067024656835,16,8192,0.94864090010712465,0
2,100001,Earth_Relay2_Mars,1,2,999999999.99999845,0.93381665290172622,4,4.1080559421808067e-10,3.0689368398882623e-09,23946199074.998615,23946.199074998614,16,8192,0,1
3,100002,Direct_Earth_to_Mars,1,1,342263292735.57843,0.92420181873497187,0,3.506837974404793e-15,2.5928208271630193e-14,202311.7676651463,0.20231176766514627,16,8192,0.81684022387065913,0
3,100002,Earth_Relay0_Mars,1,1,322524825857.26129,0.92420181873497187,0,3.9492083829785388e-15,2.9198924560897297e-14,227832.40476743429,0.22783240476743427,16,8192,0.79625769764739029,0
3,100002,Earth_Relay0_Mars,1,2,72775491428.33342,0.92420181873497187,0,7.7565046202103147e-14,5.7348605416196678e-13,4474778.0538220191,4.4747780538220185,16,8192,0.011392750421342579,6.4375957927387043e-11
3,100002,Earth_Relay1_Mars,1,1,354551195370.42371,0.92420181873497187,0,3.2679728603254986e-15,2.4162131688714833e-14,188531.48359852331,0.18853148359852329,16,8192,0.82817442911695394,0
3,100002,Earth_Relay1_Mars,1,2,74890342951.873886,0.92420181873497187,0,7.3246134523090163e-14,5.4155368593237062e-13,4225617.2250218047,4.2256172250218045,16,8192,0.014616310372369101,8.0130264953750326e-14
3,100002,Earth_Relay2_Mars,1,1,343215067205.9176,0.92420181873497187,0,3.4874152203542323e-15,2.5784603914683235e-14,201191.25632884449,0.20119125632884449,16,8192,0.81775601558313316,0
3,100002,Earth_Relay2_Mars,1,2,999999999.99999499,0.92420181873497187,0,4.1080559421808356e-10,3.0373382185828288e-09,23699642395.681961,23699.64239568196,16,8192,0,1
3,100002,Direct_Earth_to_Mars,1,1,342263292735.57843,0.92420181873497187,0.01,3.506837974404793e-15,2.5928208271630193e-14,202311.7676651463,0.20231176766514627,16,8192,0.83264243279791961,0
3,100002,Earth_Relay0_Mars,1,1,322524825857.26129,0.92420181873497187,0.01,3.9492083829785388e-15,2.9198924560897297e-14,227832.40476743429,0.22783240476743427,16,8192,0.81446748957442872,0
3,100002,Earth_Relay0_Mars,1,2,72775491428.33342,0.92420181873497187,0.01,7.7565046202103147e-14,5.7348605416196678e-13,4474778.0538220191,4.4747780538220185,16,8192,0.018410458105883487,2.9681210296996443e-17
