Configuration_ID,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,Packet_Bits,PPM_Order,Background_Photons_Per_Slot,Photon_Gain_Factor,Route_Name,Total_Worlds,Available_Worlds,Certified_Worlds,All_Available_Worlds_Certified,Minimum_Scaled_Bottleneck_Photons_Per_Slot,Worst_Log10_Route_Packet_Failure_Upper_Bound,Mean_Route_Packet_Success_Lower_Bound_Available
9,10,0.29999999999999999,0.29999999999999999,1000000,1024,16,4,5.0624999999999982,Earth_Relay0_Mars,100,94,0,0,0.70385491552057899,0,0
9,10,0.29999999999999999,0.29999999999999999,1000000,1024,16,4,5.0624999999999982,Earth_Relay1_Mars,100,91,0,0,0.76859251203858736,0,0
9,10,0.29999999999999999,0.29999999999999999,1000000,1024,16,4,5.0624999999999982,Earth_Relay2_Mars,100,92,0,0,0.71466029683091248,0,0.034705846812723803
10,10,0.29999999999999999,0.29999999999999999,1000000,2048,16,4,5.0624999999999982,Direct_Earth_to_Mars,100,100,0,0,0.71830742067952491,0,0.034520971956469859
10,10,0.29999999999999999,0.29999999999999999,1000000,2048,16,4,5.0624999999999982,Earth_Relay0_Mars,100,94,0,0,0.70385491552057899,0,0
10,10,0.29999999999999999,0.29999999999999999,1000000,2048,16,4,5.0624999999999982,Earth_Relay1_Mars,100,91,0,0,0.76859251203858736,0,0
10,10,0.29999999999999999,0.29999999999999999,1000000,2048,16,4,5.0624999999999982,Earth_Relay2_Mars,100,92,0,0,0.71466029683091248,0,0.025933432755882394
11,10,0.29999999999999999,0.29999999999999999,1000000,4096,16,4,5.0624999999999982,Direct_Earth_to_Mars,100,100,0,0,0.71830742067952491,0,0.029041943912939717
11,10,0.29999999999999999,0.29999999999999999,1000000,4096,16,4,5.0624999999999982,Earth_Relay0_Mars,100,94,0,0,0.70385491552057899,0,0
11,10,0.29999999999999999,0.29999999999999999,1000000,4096,16,4,5.0624999999999982,Earth_Relay1_Mars,100,91,0,0,0.76859251203858736,0,0
11,10,0.29999999999999999,0.29999999999999999,1000000,4096,16,4,5.0624999999999982,Earth_Relay2_Mars,100,92,0,0,0.71466029683091248,0,0.016212011065416997
12,10,0.29999999999999999,0.29999999999999999,1000000,8192,16,4,5.0624999999999982,Direct_Earth_to_Mars,100,100,0,0,0.71830742067952491,0,0.020025815188933163
12,10,0.29999999999999999,0.29999999999999999,1000000,8192,16,4,5.0624999999999982,Earth_Relay0_Mars,100,94,0,0,0.70385491552057899,0,0
12,10,0.29999999999999999,0.29999999999999999,1000000,8192,16,4,5.0624999999999982,Earth_Relay1_Mars,100,91,0,0,0.76859251203858736,0,0
12,10,0.29999999999999999,0.29999999999999999,1000000,8192,16,4,5.0624999999999982,Earth_Relay2_Mars,100,92,0,0,0.71466029683091248,0,0.0087022492162623505
13,10,0.40000000000000002,0.40000000000000002,250000,1024,16,4,64,Direct_Earth_to_Mars,100,100,37,0,9.0808246762448608,0,0.46032002713722925
13,10,0.40000000000000002,0.40000000000000002,250000,1024,16,4,64,Earth_Relay0_Mars,100,94,37,0,8.8981164628774465,0,0.44869429711374981
13,10,0.40000000000000002,0.40000000000000002,250000,1024,16,4,64,Earth_Relay1_Mars,100,91,31,0,9.7165275595989353,0,0.40418176011505091
13,10,0.40000000000000002,0.40000000000000002,250000,1024,16,4,64,Earth_Relay2_Mars,100,92,33,0,9.0347178266031438,0,0.47139210425535716
14,10,0.40000000000000002,0.40000000000000002,250000,2048,16,4,64,Direct_Earth_to_Mars,100,100,34,0,9.0808246762448608,0,0.45388918500453512
14,10,0.40000000000000002,0.40000000000000002,250000,2048,16,4,64,Earth_Relay0_Mars,100,94,37,0,8.8981164628774465,0,0.42696430441865058
14,10,0.40000000000000002,0.40000000000000002,250000,2048,16,4,64,Earth_Relay1_Mars,100,91,28,0,9.7165275595989353,0,0.37997453733043957
14,10,0.40000000000000002,0.40000000000000002,250000,2048,16,4,64,Earth_Relay2_Mars,100,92,33,0,9.0347178266031438,0,0.46452333894549702
15,10,0.40000000000000002,0.40000000000000002,250000,4096,16,4,64,Direct_Earth_to_Mars,100,100,33,0,9.0808246762448608,0,0.44777837000907028
15,10,0.40000000000000002,0.40000000000000002,250000,4096,16,4,64,Earth_Relay0_Mars,100,94,37,0,8.8981164628774465,0,0.4167455407334697
15,10,0.40000000000000002,0.40000000000000002,250000,4096,16,4,64,Earth_Relay1_Mars,100,91,27,0,9.7165275595989353,0,0.36016039978997816
15,10,0.40000000000000002,0.40000000000000002,250000,4096,16,4,64,Earth_Relay2_Mars,100,92,30,0,9.0347178266031438,0,0.45078580832577647
16,10,0.40000000000000002,0.40000000000000002,250000,8192,16,4,64,Direct_Earth_to_Mars,100,100,30,0,9.0808246762448608,0,0.43555674001814049
16,10,0.40000000000000002,0.40000000000000002,250000,8192,16,4,64,Earth_Relay0_Mars,100,94,37,0,8.8981164628774465,0,0.41387482621311289
16,10,0.40000000000000002,0.40000000000000002,250000,8192,16,4,64,Earth_Relay1_Mars,100,91,27,0,9.7165275595989353,0,0.35137668289501489
16,10,0.40000000000000002,0.40000000000000002,250000,8192,16,4,64,Earth_Relay2_Mars,100,92,30,0,9.0347178266031438,0,0.43930033957874892
17,10,0.40000000000000002,0.40000000000000002,500000,1024,16,4,32,Direct_Earth_to_Mars,100,100,24,0,4.5404123381224304,0,0.28186537976796711
17,10,0.40000000000000002,0.40000000000000002,500000,1024,16,4,32,Earth_Relay0_Mars,100,94,24,0,4.4490582314387233,0,0.33310024240845065
17,10,0.40000000000000002,0.40000000000000002,500000,1024,16,4,32,Earth_Relay1_Mars,100,91,13,0,4.8582637797994677,0,0.21618992622759958
17,10,0.40000000000000002,0.40000000000000002,500000,1024,16,4,32,Earth_Relay2_Mars,100,92,23,0,4.5173589133015719,0,0.30394641863119487
18,10,0.40000000000000002,0.40000000000000002,500000,2048,16,4,32,Direct_Earth_to_Mars,100,100,23,0,4.5404123381224304,0,0.27968557691217732
18,10,0.40000000000000002,0.40000000000000002,500000,2048,16,4,32,Earth_Relay0_Mars,100,94,24,0,4.4490582314387233,0,0.32495125292266475
18,10,0.40000000000000002,0.40000000000000002,500000,2048,16,4,32,Earth_Relay1_Mars,100,91,13,0,4.8582637797994677,0,0.20011955249657906
18,10,0.40000000000000002,0.40000000000000002,500000,2048,16,4,32,Earth_Relay2_Mars,100,92,22,0,4.5173589133015719,0,0.30354501117543309
19,10,0.40000000000000002,0.40000000000000002,500000,4096,16,4,32,Direct_Earth_to_Mars,100,100,23,0,4.5404123381224304,0,0.27937115382435462
19,10,0.40000000000000002,0.40000000000000002,500000,4096,16,4,32,Earth_Relay0_Mars,100,94,24,0,4.4490582314387233,0,0.31262354701543676
19,10,0.40000000000000002,0.40000000000000002,500000,4096,16,4,32,Earth_Relay1_Mars,100,91,13,0,4.8582637797994677,0,0.18534843694457101
19,10,0.40000000000000002,0.40000000000000002,500000,4096,16,4,32,Earth_Relay2_Mars,100,92,22,0,4.5173589133015719,0,0.30274219626390975
20,10,0.40000000000000002,0.40000000000000002,500000,8192,16,4,32,Direct_Earth_to_Mars,100,100,22,0,4.5404123381224304,0,0.27874230764870928
20,10,0.40000000000000002,0.40000000000000002,500000,8192,16,4,32,Earth_Relay0_Mars,100,94,24,0,4.4490582314387233,0,0.30158088471658767
20,10,0.40000000000000002,0.40000000000000002,500000,8192,16,4,32,Earth_Relay1_Mars,100,91,13,0,4.8582637797994677,0,0.18116968784697018
20,10,0.40000000000000002,0.40000000000000002,500000,8192,16,4,32,Earth_Relay2_Mars,100,92,21,0,4.5173589133015719,0,0.30113656644086312
21,10,0.40000000000000002,0.40000000000000002,1000000,1024,16,4,16,Direct_Earth_to_Mars,100,100,13,0,2.2702061690612152,0,0.18819161010620636
21,10,0.40000000000000002,0.40000000000000002,1000000,1024,16,4,16,Earth_Relay0_Mars,100,94,21,0,2.2245291157193616,0,0.25521530742557191
21,10,0.40000000000000002,0.40000000000000002,1000000,1024,16,4,16,Earth_Relay1_Mars,100,91,3,0,2.4291318898997338,0,0.10476956432196725
21,10,0.40000000000000002,0.40000000000000002,1000000,1024,16,4,16,Earth_Relay2_Mars,100,92,12,0,2.258679456650786,0,0.18763755681659611
22,10,0.40000000000000002,0.40000000000000002,1000000,2048,16,4,16,Direct_Earth_to_Mars,100,100,13,0,2.2702061690612152,0,0.17638322021241265
22,10,0.40000000000000002,0.40000000000000002,1000000,2048,16,4,16,Earth_Relay0_Mars,100,94,21,0,2.2245291157193616,0,0.25511146591497363
22,10,0.40000000000000002,0.40000000000000002,1000000,2048,16,4,16,Earth_Relay1_Mars,100,91,3,0,2.4291318898997338,0,0.089134872853146724
