Experiment_Family,Design_Name,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,PPM_Order,Packet_Bits,Background_Photons_Per_Slot,Route_Name,N_Worlds,Mean_End_To_End_Packet_Success,Minimum,Maximum,Worlds_At_Least_50pct,Worlds_At_Least_90pct,Worlds_At_Least_99pct,Worlds_At_Least_99_9pct
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,1,Earth_Relay0_Mars,100,0.40703007554278769,0,1,39,39,37,36
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,1,Earth_Relay1_Mars,100,0.34574804973339907,0,1,33,31,27,24
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,1,Earth_Relay2_Mars,100,0.41956751939075809,0,1,42,39,33,29
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,4,Direct_Earth_to_Mars,100,0.32716170797860572,0,1,33,29,28,28
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,4,Earth_Relay0_Mars,100,0.3691521901201118,0,1,37,36,32,29
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,4,Earth_Relay1_Mars,100,0.27829160407287912,0,1,27,24,20,17
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,4,Earth_Relay2_Mars,100,0.32450436837302815,0,1,33,29,28,28
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0,Direct_Earth_to_Mars,100,1,1,1,100,100,100,100
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0,Earth_Relay0_Mars,100,0.93999999999999995,0,1,94,94,94,94
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0,Earth_Relay1_Mars,100,0.91000000000000003,0,1,91,91,91,91
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0,Earth_Relay2_Mars,100,0.92000000000000004,0,1,92,92,92,92
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0.01,Direct_Earth_to_Mars,100,1,1,1,100,100,100,100
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0.01,Earth_Relay0_Mars,100,0.93999999999999995,0,1,94,94,94,94
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0.01,Earth_Relay1_Mars,100,0.91000000000000003,0,1,91,91,91,91
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0.01,Earth_Relay2_Mars,100,0.92000000000000004,0,1,92,92,92,92
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0.10000000000000001,Direct_Earth_to_Mars,100,1,1,1,100,100,100,100
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0.10000000000000001,Earth_Relay0_Mars,100,0.93999999999999995,0,1,94,94,94,94
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0.10000000000000001,Earth_Relay1_Mars,100,0.91000000000000003,0,1,91,91,91,91
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,0.10000000000000001,Earth_Relay2_Mars,100,0.92000000000000004,0,1,92,92,92,92
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,1,Direct_Earth_to_Mars,100,1,1,1,100,100,100,100
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,1,Earth_Relay0_Mars,100,0.93999999999999995,0,1,94,94,94,94
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,1,Earth_Relay1_Mars,100,0.91000000000000003,0,1,91,91,91,91
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,1,Earth_Relay2_Mars,100,0.92000000000000004,0,1,92,92,92,92
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,4,Direct_Earth_to_Mars,100,1,1,1,100,100,100,100
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,4,Earth_Relay0_Mars,100,0.93999999999999995,0,1,94,94,94,94
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,4,Earth_Relay1_Mars,100,0.91000000000000003,0,1,91,91,91,91
Aperture,TX_RX_100cm,10,1,1,1000000,16,8192,4,Earth_Relay2_Mars,100,0.92000000000000004,0,1,92,92,92,92
Slot_Rate,Slot_Rate_100000Hz,10,0.20000000000000001,0.20000000000000001,100000,16,8192,0,Direct_Earth_to_Mars,100,0.26910785825100075,3.8013697541581468e-247,1,28,23,21,16
Slot_Rate,Slot_Rate_100000Hz,10,0.20000000000000001,0.20000000000000001,100000,16,8192,0,Earth_Relay0_Mars,100,0.28496716252489518,0,0.99999999999909051,29,24,24,24
Slot_Rate,Slot_Rate_100000Hz,10,0.20000000000000001,0.20000000000000001,100000,16,8192,0,Earth_Relay1_Mars,100,0.16761380858487382,0,0.99999993127767317,17,14,11,9
Slot_Rate,Slot_Rate_100000Hz,10,0.20000000000000001,0.20000000000000001,100000,16,8192,0,Earth_Relay2_Mars,100,0.26821494666545581,0,1,28,23,20,16
